event_id,event_date,anchor_date,window_label,relative_day,market_date,sp500_return,expected_return,abnormal_return,event_group,event_type,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,estimation_window_start,estimation_window_end,estimation_n_obs,estimation_sufficient_data
E02,2018-04-06,2018-04-06,m1_p1,-1,2018-04-05,0.0068628636575538415,-0.001377601484445492,0.008240465141999333,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m1_p1,0,2018-04-06,-0.021920248779842444,-0.001377601484445492,-0.02054264729539695,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m1_p1,1,2018-04-09,0.0033365488963206236,-0.001377601484445492,0.004714150380766115,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,-3,2018-04-03,0.012614865848792123,-0.001377601484445492,0.013992467333237614,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,-2,2018-04-04,0.01156648273982852,-0.001377601484445492,0.012944084224274012,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,-1,2018-04-05,0.0068628636575538415,-0.001377601484445492,0.008240465141999333,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,0,2018-04-06,-0.021920248779842444,-0.001377601484445492,-0.02054264729539695,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,1,2018-04-09,0.0033365488963206236,-0.001377601484445492,0.004714150380766115,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,2,2018-04-10,0.0167269537832615,-0.001377601484445492,0.018104555267706993,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m3_p3,3,2018-04-11,-0.005525364482924067,-0.001377601484445492,-0.004147762998478575,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,-5,2018-03-29,0.013769718690019195,-0.001377601484445492,0.015147320174464686,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,-4,2018-04-02,-0.022337423560165104,-0.001377601484445492,-0.02095982207571961,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
