event_group,window_label,n_events,volatility_sp500_mean,volatility_sp500_median,volatility_sp500_std,volatility_nasdaq_mean,volatility_nasdaq_median,volatility_nasdaq_std,volatility_shanghai_mean,volatility_shanghai_median,volatility_shanghai_std
escalation,m1_p1,11,0.008050021856414215,0.008903698532905275,0.0052947883310098575,0.00999003274103471,0.010662882267328547,0.005298445388951619,0.01308943758329142,0.014711683786882142,0.008368094262928881
escalation,m3_p3,11,0.008691919512088074,0.007483262618181809,0.00495026153417478,0.010898425076923967,0.010530753359272116,0.0056785749316630415,0.011758561538449059,0.011942772993340945,0.004467734517064641
escalation,m5_p5,11,0.008741438198296111,0.00692965906881875,0.00472934089745913,0.010983184139000058,0.009303978792216757,0.0051894426176123006,0.012219497325428602,0.012123024997625263,0.00502372401812156
relief,m1_p1,6,0.004402493051214006,0.0036248390006043364,0.002522149969414082,0.005706650827701461,0.004225337712820531,0.004312333690807632,0.005253325796701281,0.004527814304009153,0.0034279113383187073
relief,m3_p3,6,0.004771760888983601,0.004239414380599492,0.0019211280008600967,0.005931439082406911,0.0056884057421254935,0.0027674343178227265,0.01024823983484194,0.00802277368804006,0.005610531035199063
relief,m5_p5,6,0.008473854090969988,0.005285890770132333,0.007148897350342936,0.010009042109192415,0.006742255393782464,0.008394122449726985,0.009739636071874619,0.008327139963155868,0.004203943418242954
