date,sp500,nasdaq,shanghai,vix
2017-01-03,2257.830078125,5429.080078125,3135.9208984375,12.850000381469727
2017-01-04,2270.75,5477.0,3158.7939453125,11.850000381469727
2017-01-05,2269.0,5487.93994140625,3165.410888671875,11.670000076293945
2017-01-06,2276.97998046875,5521.06005859375,3154.321044921875,11.319999694824219
2017-01-09,2268.89990234375,5531.81982421875,3171.236083984375,11.5600004196167
2017-01-10,2268.89990234375,5551.81982421875,3161.6708984375,11.489999771118164
2017-01-11,2275.320068359375,5563.64990234375,3136.75390625,11.260000228881836
2017-01-12,2270.43994140625,5547.490234375,3119.2890625,11.539999961853027
2017-01-13,2274.639892578125,5574.1201171875,3112.763916015625,11.229999542236328
2017-01-16,,,3103.427978515625,
2017-01-17,2267.889892578125,5538.72998046875,3108.77490234375,11.869999885559082
2017-01-18,2271.889892578125,5555.64990234375,3113.011962890625,12.479999542236328
2017-01-19,2263.68994140625,5540.080078125,3101.299072265625,12.779999732971191
2017-01-20,2271.31005859375,5555.330078125,3123.138916015625,11.539999961853027
2017-01-23,2265.199951171875,5552.93994140625,3136.77490234375,11.770000457763672
2017-01-24,2280.070068359375,5600.9599609375,3142.552978515625,11.069999694824219
2017-01-25,2298.3701171875,5656.33984375,3149.554931640625,10.8100004196167
2017-01-26,2296.679931640625,5655.18017578125,3159.166015625,10.630000114440918
2017-01-27,2294.68994140625,5660.77978515625,,10.579999923706055
2017-01-30,2280.89990234375,5613.7099609375,,11.880000114440918
2017-01-31,2278.8701171875,5614.7900390625,,11.989999771118164
2017-02-01,2279.550048828125,5642.64990234375,,11.8100004196167
2017-02-02,2280.85009765625,5636.2001953125,,11.930000305175781
2017-02-03,2297.419921875,5666.77001953125,3140.169921875,10.970000267028809
2017-02-06,2292.56005859375,5663.5498046875,3156.98388671875,11.369999885559082
2017-02-07,2293.080078125,5674.22021484375,3153.087890625,11.289999961853027
2017-02-08,2294.669921875,5682.4501953125,3166.98193359375,11.449999809265137
