event_group,window_label,period,row_count,sp500_return_mean,sp500_return_median,sp500_return_std,sp500_return_n,nasdaq_return_mean,nasdaq_return_median,nasdaq_return_std,nasdaq_return_n,shanghai_return_mean,shanghai_return_median,shanghai_return_std,shanghai_return_n,event_count
escalation,m1_p1,before,11,0.0037483935670176364,0.0024715497784322,0.005529832510227623,11,0.003994276653262092,0.0038083125926495,0.00717300781631872,11,0.00120789442830997,-0.0017336128825813,0.01264313685351651,10,11
escalation,m1_p1,event_day,11,-0.005670077695404309,-0.0035156877607932,0.010114493232227044,11,-0.005460447647876464,-0.001888942226327,0.010830439093881459,11,0.0009592415572329892,-0.0010752653571654,0.013173017051499604,9,11
escalation,m1_p1,after,11,-0.0008392243022098,0.0033365488963206,0.012072602277051987,11,-0.0008366166066200196,0.0050946378532348,0.015791012540557613,11,0.0009964497001752099,0.00191558784389675,0.01665219403839108,10,11
escalation,m3_p3,before,33,0.003053703811989706,0.002464268027652,0.00722827982681908,33,0.0032197848008169816,0.0038239271687106,0.008821154543632153,33,0.0018288590142235624,0.0009323943012520001,0.010942109108048324,32,11
escalation,m3_p3,event_day,11,-0.005670077695404309,-0.0035156877607932,0.010114493232227044,11,-0.005460447647876464,-0.001888942226327,0.010830439093881459,11,0.0009592415572329892,-0.0010752653571654,0.013173017051499604,9,11
escalation,m3_p3,after,33,0.0011684394965066334,0.0017121542893689,0.011396658378027148,33,0.0017810565848970664,0.001779027910268,0.014734722184198929,33,0.0016549011215386967,0.0025069562478966002,0.013768098736226147,32,11
escalation,m5_p5,before,55,0.0018690126710217473,0.002464268027652,0.009512496373275343,55,0.0018125279064808548,0.0027313336263987,0.011423866908612496,55,-0.0005099078281055061,-0.0009814524635908,0.013500668666662982,53,11
escalation,m5_p5,event_day,11,-0.005670077695404309,-0.0035156877607932,0.010114493232227044,11,-0.005460447647876464,-0.001888942226327,0.010830439093881459,11,0.0009592415572329892,-0.0010752653571654,0.013173017051499604,9,11
escalation,m5_p5,after,55,0.0015098653606416348,0.0010792374947172,0.009430842303736404,55,0.001652989001445038,0.000263302617399,0.012314826898362047,55,0.0006750053450023074,0.0020669378611151,0.012798659632945757,53,11
relief,m1_p1,before,6,0.00032856359756837703,-0.0007140660933487188,0.0043131787776653,6,0.0010998808159582833,-0.00020131542424295,0.004018035603402926,6,0.000473739241928583,-0.0028949608742525,0.009181785263450436,6,6
relief,m1_p1,event_day,6,-0.0021955392571129948,-0.00017985919385988416,0.0065798851037927675,6,-0.0027591749943540835,0.0006465255513372,0.009308618888267632,6,0.0021176577735832337,0.00099153377787085,0.010251875411689634,6,6
relief,m1_p1,after,6,-0.0008737528844567664,0.00076967468398675,0.009340705870173415,6,0.00016335171242769982,0.0034490796510836,0.010900609191004504,6,0.0018968139991884963,0.0002298519606866887,0.007869953656038603,6,6
relief,m3_p3,before,18,-0.0006952916478243779,7.949118512484699e-05,0.008038603788124921,18,-3.398798409512789e-05,0.0010658054147322,0.00937796230326186,18,0.0027208483507830668,0.002033088677656,0.00899402018898761,18,6
relief,m3_p3,event_day,6,-0.0021955392571129948,-0.00017985919385988416,0.0065798851037927675,6,-0.0027591749943540835,0.0006465255513372,0.009308618888267632,6,0.0021176577735832337,0.00099153377787085,0.010251875411689634,6,6
relief,m3_p3,after,18,-0.0030770021678236167,-0.00128199451030305,0.009653023806498474,18,-0.0029234085877366555,0.00032838093573525,0.011157343755096978,18,-0.002241278828962779,-0.0008860711363846113,0.013682277655070069,18,6
relief,m5_p5,before,30,0.0007436454021412533,0.00021084640622133114,0.007065207409662023,30,0.001445727535398013,0.0015550651795072,0.008295568797160438,30,0.0023913694890000435,0.002771588144376,0.008012587628441854,30,6
relief,m5_p5,event_day,6,-0.0021955392571129948,-0.00017985919385988416,0.0065798851037927675,6,-0.0027591749943540835,0.0006465255513372,0.009308618888267632,6,0.0021176577735832337,0.00099153377787085,0.010251875411689634,6,6
relief,m5_p5,after,30,-0.0002625046942484698,0.000600717913275,0.014160357073173806,30,7.079408357064989e-05,0.0016884910770419998,0.0165530785201237,30,-0.001062209885791438,7.282842626077368e-06,0.012718794946123425,30,6
