date,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
2017-01-03,2257.830078125,5429.080078125,3135.9208984375,12.850000381469728,,,,,,
2017-01-04,2270.75,5477.0,3158.7939453125,11.850000381469728,0.005722273788525856,0.008826526996365436,0.007293885150737367,0.005705963770549438,0.008787800917977956,0.0072674134137108255
2017-01-05,2269.0,5487.93994140625,3165.410888671875,11.670000076293944,-0.0007706704833204681,0.001997433157978845,0.0020947689130512703,-0.0007709676024811847,0.0019954409408078624,0.0020925779438343436
2017-01-06,2276.97998046875,5521.06005859375,3154.321044921875,11.31999969482422,0.0035169592193697863,0.006035072821699572,-0.0035034452524591586,0.0035107891805790594,0.006016934709685306,-0.0035095966884596446
2017-01-09,2268.89990234375,5531.81982421875,3171.236083984375,11.5600004196167,-0.0035485942758867184,0.00194885864504446,0.0053624976093449295,-0.003554905471559629,0.0019469620837221327,0.00534817061519782
2017-01-10,2268.89990234375,5551.81982421875,3161.6708984375,11.489999771118164,0.0,0.003615446749085871,-0.0030162325647030697,0.0,0.00360892673194564,-0.003020790561772158
2017-01-11,2275.320068359375,5563.64990234375,3136.75390625,11.260000228881836,0.0028296382793233654,0.002130846911384543,-0.007880956933188132,0.0028256423891019514,0.0021285798770022605,-0.007912175805515035
2017-01-12,2270.43994140625,5547.490234375,3119.2890625,11.539999961853027,-0.0021448089967596173,-0.0029045084166676727,-0.005567808081852088,-0.002147112393729617,-0.0029087346867140255,-0.005583366101523341
2017-01-13,2274.639892578125,5574.1201171875,3112.763916015625,11.229999542236328,0.0018498402425362048,0.00480034784874217,-0.002091869766999155,0.0018481313951466559,0.004788862918781612,-0.0020940607826396944
2017-01-16,,,3103.427978515625,,,,-0.0029992436792155575,,,-0.003003750424012291
2017-01-17,2267.889892578125,5538.72998046875,3108.77490234375,11.869999885559082,-0.0029675026899970147,-0.006349008628218522,0.0017229089462171832,-0.0029719144562184454,-0.006369249301118923,0.0017214264411685878
2017-01-18,2271.889892578125,5555.64990234375,3113.011962890625,12.479999542236328,0.0017637540575008437,0.003054837830091861,0.0013629357801623332,0.0017622004698093201,0.0030501812939061406,0.0013620078262572678
2017-01-19,2263.68994140625,5540.080078125,3101.299072265625,12.779999732971191,-0.003609308355419394,-0.0028025207657850215,-0.0037625588223322293,-0.003615837624319374,-0.0028064551796767516,-0.0037696550523589312
2017-01-20,2271.31005859375,5555.330078125,3123.138916015625,11.539999961853027,0.003366237154707852,0.002752667792693897,0.007042159830797923,0.0033605840612999428,0.0027488861408699787,0.007017479623490508
2017-01-23,2265.199951171875,5552.93994140625,3136.77490234375,11.770000457763672,-0.002690124758069401,-0.000430242071152831,0.004366115851651253,-0.002693749646069815,-0.00043033465182841263,0.004356612021011608
2017-01-24,2280.070068359375,5600.9599609375,3142.552978515625,11.06999969482422,0.006564593637664151,0.008647674932189098,0.0018420436122330575,0.006543140528962317,0.008610497967116026,0.0018403491304521586
2017-01-25,2298.3701171875,5656.33984375,3149.554931640625,10.8100004196167,0.008026090549617448,0.009887569844943211,0.0022281098116307962,0.007994052795968681,0.009839007671767912,0.002225631255944498
2017-01-26,2296.679931640625,5655.18017578125,3159.166015625,10.630000114440918,-0.0007353844075136395,-0.00020502091472307526,0.003051568933699622,-0.0007356549352631034,-0.00020504193438384134,0.0030469223477393565
2017-01-27,2294.68994140625,5660.77978515625,,10.579999923706056,-0.000866463892926328,0.0009901734694468534,,-0.0008668394897415927,0.0009896835710599752,
2017-01-30,2280.89990234375,5613.7099609375,,11.880000114440918,-0.006009543517695892,-0.008315077781717806,,-0.006027673496096654,-0.00834984088034713,
2017-01-31,2278.8701171875,5614.7900390625,,11.989999771118164,-0.0008899054071440649,0.0001924000585202812,,-0.0008903016080325452,0.00019238155200275388,
2017-02-01,2279.550048828125,5642.64990234375,,11.8100004196167,0.00029836348965073256,0.004961870895870968,,0.00029831898811628964,0.004949601384228,
2017-02-02,2280.85009765625,5636.2001953125,,11.93000030517578,0.0005703094032936118,-0.0011430280352092703,,0.0005701468386910137,-0.0011436817899747387,
2017-02-03,2297.419921875,5666.77001953125,3140.169921875,10.970000267028809,0.007264758098647794,0.0054238357686751115,-0.006013009020749971,0.007238496854553608,0.005409179742155792,-0.006031159957231822
2017-02-06,2292.56005859375,5663.5498046875,3156.98388671875,11.369999885559082,-0.002115356985885164,-0.0005682628433218984,0.005354476115009277,-0.002117597513709103,-0.0005684243658458462,0.005340191874837522
2017-02-07,2293.080078125,5674.22021484375,3153.087890625,11.289999961853027,0.00022682918569594257,0.001884049849339764,-0.0012340880516179542,0.00022680346384577153,0.0018822772535124236,-0.0012348501653523544
2017-02-08,2294.669921875,5682.4501953125,3166.98193359375,11.449999809265137,0.0006933223855400961,0.0014504161201251975,0.00440648768785068,0.0006930821486096318,0.0014493652826428015,0.0043968075475074656
2017-02-09,2307.8701171875,5715.18017578125,3183.178955078125,10.880000114440918,0.005752546449780516,0.005759835870756902,0.005114339716487004,0.00573606373596025,0.005743311437779524,0.0051013059018014915
2017-02-10,2316.10009765625,5734.1298828125,3196.698974609375,10.850000381469728,0.003566050102845164,0.003315679724595899,0.004247332532053116,0.0035597068220090916,0.0033101949790070454,0.004238338074541531
2017-02-13,2328.25,5763.9599609375,3216.839111328125,11.06999969482422,0.005245845097992419,0.0052021978459910745,0.006300291919482781,0.005232133584011204,0.005188713161223966,0.006280528049012194
2017-02-14,2337.580078125,5782.56982421875,3217.927978515625,10.739999771118164,0.004007335176634763,0.0032286593604691216,0.00033848978758865833,0.003999327195672579,0.0032234584315146407,0.00033843251284475354
