event_id,event_date,anchor_date,window_label,relative_day,market_date,event_type,event_group,description,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
E05,2018-07-11,2018-07-11,m5_p5,0,2018-07-11,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2774.02001953125,7716.60986328125,2777.77099609375,13.630000114440918,-0.0070942028662561,-0.0054890105886145,-0.0176310521749701,-0.0071194863719165,-0.0055041305617467,-0.0177883305731114
E05,2018-07-11,2018-07-11,m5_p5,1,2018-07-12,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2798.2900390625,7823.919921875,2837.658935546875,12.579999923706056,0.0087490426746634,0.0139063734586835,0.0215597108391378,0.0087109915801719,0.0138105670387814,0.02133058764366
E05,2018-07-11,2018-07-11,m5_p5,2,2018-07-13,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2801.31005859375,7825.97998046875,2831.18408203125,12.18000030517578,0.0010792374947172,0.000263302617399,-0.0022817588944589,0.0010786555366086,0.0002632679593484,-0.0022843660730087
E05,2018-07-11,2018-07-11,m5_p5,3,2018-07-16,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2798.429931640625,7805.72021484375,2814.0419921875,12.829999923706056,-0.0010281357268144,-0.0025887832163591,-0.0060547422375486,-0.0010286646208985,-0.0025921399100494,-0.0060731465157085
E05,2018-07-11,2018-07-11,m5_p5,4,2018-07-17,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2809.550048828125,7855.1201171875,2798.1259765625,12.0600004196167,0.0039736986307106,0.0063286796072716,-0.0056559268373346,0.0039658243434434,0.0063087376079447,-0.0056719821586308
E05,2018-07-11,2018-07-11,m5_p5,5,2018-07-18,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,2815.6201171875,7854.43994140625,2787.257080078125,12.100000381469728,0.0021605126279586,-8.659011843270559e-05,-0.0038843485159046,0.0021581820767374,-8.659386757343794e-05,-0.0038919121905868
E06,2018-08-23,2018-08-23,m1_p1,-1,2018-08-22,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2861.820068359375,7889.10009765625,2714.60791015625,12.25,-0.0003981517707819,0.0038083125926495,-0.0070297151633395,-0.0003982310542435,0.0038010793287848,-0.0070545400205053
E06,2018-08-23,2018-08-23,m1_p1,0,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2856.97998046875,7878.4599609375,2724.6240234375,12.40999984741211,-0.0016912621251551,-0.00134871361588,0.003689709016089,-0.0016926939235351,-0.0013496239486998,0.0036829187374199
E06,2018-08-23,2018-08-23,m1_p1,1,2018-08-24,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2874.68994140625,7945.97998046875,2729.430908203125,11.989999771118164,0.006198839704363,0.0085702053276939,0.0017642378266784,0.0061797059282853,0.0085336896012063,0.0017626833871227
E06,2018-08-23,2018-08-23,m3_p3,-3,2018-08-20,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2857.050048828125,7821.009765625,2698.466064453125,12.489999771118164,0.0024280177746833,0.0005987064841461,0.0110529693100629,0.0024250749021282,0.0005985273309223,0.0109923316530734
E06,2018-08-23,2018-08-23,m3_p3,-2,2018-08-21,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2862.9599609375,7859.169921875,2733.825927734375,12.859999656677246,0.0020685364303643,0.0048791853473604,0.0131036901842291,0.002066399954627,0.0048673207000909,0.0130185795387605
E06,2018-08-23,2018-08-23,m3_p3,-1,2018-08-22,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2861.820068359375,7889.10009765625,2714.60791015625,12.25,-0.0003981517707819,0.0038083125926495,-0.0070297151633395,-0.0003982310542435,0.0038010793287848,-0.0070545400205053
E06,2018-08-23,2018-08-23,m3_p3,0,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2856.97998046875,7878.4599609375,2724.6240234375,12.40999984741211,-0.0016912621251551,-0.00134871361588,0.003689709016089,-0.0016926939235351,-0.0013496239486998,0.0036829187374199
