window_label,n,mean_car,median_car,std_car,iqr_car,mad_car,trimmed_mean_car,winsorized_mean_car,min_car,max_car,bootstrap_ci_mean_lower,bootstrap_ci_mean_upper,bootstrap_ci_median_lower,bootstrap_ci_median_upper,ttest_pvalue,wilcoxon_pvalue,sign_test_pvalue,n_positive,n_negative,n_neutral,share_positive,share_negative
m1_p1,24,-0.0023430040812778123,-0.00062123816945765,0.016533786668356653,0.0149553044114317,0.0068528338854523495,-0.0010284791440111952,-0.0018617213006115532,-0.0505901249707742,0.0269660035709211,-0.009211807637135031,0.0038578015601532863,-0.0067172505837402,0.0050635851339994,0.49448825199298907,0.8115357160568237,1.0,8,9,7,0.3333333333333333,0.375
m3_p3,24,-0.001643600192147921,0.0048262485038498,0.03357980216411478,0.026168036731847248,0.01562203171494935,0.0019095452789560999,0.0011385412591571338,-0.1102467244752974,0.0495893723092604,-0.016322185266736067,0.01072059381858705,-0.0068543394037472,0.0120249625554623,0.8126203439407051,0.6230943202972412,0.5412561893463135,12,7,5,0.5,0.2916666666666667
m5_p5,24,0.0010798147647165374,0.010630000944407001,0.03400542037934711,0.05122304196214648,0.0196747257185767,0.00211768110495412,0.0006795819189663078,-0.0703150840870045,0.0643691395559384,-0.012979718564167972,0.014061839625092063,-0.014417835811592549,0.0224009112422612,0.8777346119267055,0.8333734273910522,0.5412561893463135,13,9,2,0.5416666666666666,0.375
