event_group,window_label,mean_formal_car_sp500,median_formal_car_sp500,std_formal_car_sp500,n_events
escalation,m1_p1,-0.0028655861175862453,0.0021719807175011006,0.02147410340572622,11
escalation,m3_p3,0.00675210429377523,0.0120249625554622,0.033248223831137735,11
escalation,m5_p5,0.010840494277283412,0.0219553317167309,0.035654453532566965,11
relief,m1_p1,-0.00547609340137795,-0.00237874870648755,0.015322707301827608,6
relief,m3_p3,-0.019894938704602367,0.0009214279815612499,0.047507747946460406,6
relief,m5_p5,-0.009819506861363368,-0.007030975728562151,0.034607264266525654,6
