event_id,event_date,anchor_date,window_label,relative_day,market_date,event_type,event_group,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
E01,2018-03-22,2018-03-22,m1_p1,-1,2018-03-21,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2711.929931640625,7345.2900390625,3280.951904296875,17.860000610351562,-0.0018439898833508,-0.0025813405387026,-0.0029441046718909,-0.0018456921256294,-0.0025846779427457,-0.002948447073134
E01,2018-03-22,2018-03-22,m1_p1,0,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2643.68994140625,7166.68017578125,3263.47998046875,23.34000015258789,-0.0251628884058564,-0.0243162437877056,-0.0053252605761282,-0.0254848869728544,-0.0246167653492445,-0.0053394903167636
E01,2018-03-22,2018-03-22,m1_p1,1,2018-03-23,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2588.260009765625,6992.669921875,3152.760986328125,24.8700008392334,-0.020966880711866,-0.0242804547765773,-0.0339266656462595,-0.0211898073117506,-0.0245800850678224,-0.0345155321709907
E01,2018-03-22,2018-03-22,m3_p3,-3,2018-03-19,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2712.919921875,7344.240234375,3279.251953125,19.020000457763672,-0.014204195388793,-0.0184108767433464,0.0028655079349684,-0.0143060405413734,-0.0185824662737069,0.0028614101933134
E01,2018-03-22,2018-03-22,m3_p3,-2,2018-03-20,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2716.93994140625,7364.2998046875,3290.639892578125,18.200000762939453,0.0014818054520648,0.0027313336263987,0.0034727247603749,0.0014807086617189,0.0027276103129094,0.0034667087756272
E01,2018-03-22,2018-03-22,m3_p3,-1,2018-03-21,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2711.929931640625,7345.2900390625,3280.951904296875,17.860000610351562,-0.0018439898833508,-0.0025813405387026,-0.0029441046718909,-0.0018456921256294,-0.0025846779427457,-0.002948447073134
E01,2018-03-22,2018-03-22,m3_p3,0,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2643.68994140625,7166.68017578125,3263.47998046875,23.34000015258789,-0.0251628884058564,-0.0243162437877056,-0.0053252605761282,-0.0254848869728544,-0.0246167653492445,-0.0053394903167636
E01,2018-03-22,2018-03-22,m3_p3,1,2018-03-23,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2588.260009765625,6992.669921875,3152.760986328125,24.8700008392334,-0.020966880711866,-0.0242804547765773,-0.0339266656462595,-0.0211898073117506,-0.0245800850678224,-0.0345155321709907
E01,2018-03-22,2018-03-22,m3_p3,2,2018-03-26,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2658.550048828125,7220.5400390625,3133.721923828125,21.030000686645508,0.0271572557615125,0.0325869974892794,-0.0060388537483693,0.0267950407060353,0.0320673013729747,-0.0060571613675672
E01,2018-03-22,2018-03-22,m3_p3,3,2018-03-27,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2612.6201171875,7008.81005859375,3166.64892578125,22.5,-0.0172763088138478,-0.0293232887461754,0.0105073145459255,-0.0174272856453219,-0.0297618102548374,0.010452496376583
E01,2018-03-22,2018-03-22,m5_p5,-5,2018-03-15,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2747.330078125,7481.740234375,3291.112060546875,16.59000015258789,-0.0007819305319631,-0.0020101648702537,-8.20383427632132e-05,-0.0007822363990965,-0.0020121879632782,-8.204170809211346e-05
E01,2018-03-22,2018-03-22,m5_p5,-4,2018-03-16,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2752.010009765625,7481.990234375,3269.882080078125,15.800000190734863,0.0017034471678114,3.341468591111507e-05,-0.006450701184943,0.0017019979472317,3.3414127652933785e-05,-0.0064715968675071
E01,2018-03-22,2018-03-22,m5_p5,-3,2018-03-19,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2712.919921875,7344.240234375,3279.251953125,19.020000457763672,-0.014204195388793,-0.0184108767433464,0.0028655079349684,-0.0143060405413734,-0.0185824662737069,0.0028614101933134
E01,2018-03-22,2018-03-22,m5_p5,-2,2018-03-20,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2716.93994140625,7364.2998046875,3290.639892578125,18.200000762939453,0.0014818054520648,0.0027313336263987,0.0034727247603749,0.0014807086617189,0.0027276103129094,0.0034667087756272
E01,2018-03-22,2018-03-22,m5_p5,-1,2018-03-21,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2711.929931640625,7345.2900390625,3280.951904296875,17.860000610351562,-0.0018439898833508,-0.0025813405387026,-0.0029441046718909,-0.0018456921256294,-0.0025846779427457,-0.002948447073134
E01,2018-03-22,2018-03-22,m5_p5,0,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2643.68994140625,7166.68017578125,3263.47998046875,23.34000015258789,-0.0251628884058564,-0.0243162437877056,-0.0053252605761282,-0.0254848869728544,-0.0246167653492445,-0.0053394903167636
E01,2018-03-22,2018-03-22,m5_p5,1,2018-03-23,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2588.260009765625,6992.669921875,3152.760986328125,24.8700008392334,-0.020966880711866,-0.0242804547765773,-0.0339266656462595,-0.0211898073117506,-0.0245800850678224,-0.0345155321709907
E01,2018-03-22,2018-03-22,m5_p5,2,2018-03-26,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2658.550048828125,7220.5400390625,3133.721923828125,21.030000686645508,0.0271572557615125,0.0325869974892794,-0.0060388537483693,0.0267950407060353,0.0320673013729747,-0.0060571613675672
E01,2018-03-22,2018-03-22,m5_p5,3,2018-03-27,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2612.6201171875,7008.81005859375,3166.64892578125,22.5,-0.0172763088138478,-0.0293232887461754,0.0105073145459255,-0.0174272856453219,-0.0297618102548374,0.010452496376583
E01,2018-03-22,2018-03-22,m5_p5,4,2018-03-28,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2605.0,6949.22998046875,3122.2900390625,22.8700008392334,-0.0029166571662562,-0.0085007408714046,-0.0140081479691678,-0.0029209188994626,-0.0085370782453639,-0.0141071880740594
E01,2018-03-22,2018-03-22,m5_p5,5,2018-03-29,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,2640.8701171875,7063.4501953125,3160.531005859375,19.96999931335449,0.0137697186900191,0.0164363843425492,0.0122477304537529,0.0136757774938434,0.0163027690905295,0.0121733338468622
E02,2018-04-06,2018-04-06,m1_p1,-1,2018-04-05,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2662.840087890625,7076.5498046875,,18.940000534057617,0.0068628636575538,0.0048905714444793,,0.0068394214016512,0.0048786514478849,
E02,2018-04-06,2018-04-06,m1_p1,0,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2604.469970703125,6915.10986328125,,21.489999771118164,-0.0219202487798424,-0.0228133689244033,,-0.0221640670570649,-0.0230776205398669,
E02,2018-04-06,2018-04-06,m1_p1,1,2018-04-09,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2613.159912109375,6950.33984375,3138.2939453125,21.770000457763672,0.0033365488963206,0.0050946378532348,0.0022940295426965,0.0033309949675928,0.0050817040957478,0.002291402274179
E02,2018-04-06,2018-04-06,m3_p3,-3,2018-04-03,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2614.449951171875,6941.27978515625,3136.633056640625,21.100000381469727,0.0126148658487921,0.0103578491722036,-0.0083921582732091,0.012535961315741,0.0103045742126723,-0.0084275706970755
E02,2018-04-06,2018-04-06,m3_p3,-2,2018-04-04,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2644.68994140625,7042.10986328125,3131.111083984375,20.059999465942383,0.0115664827398285,0.0145261509758793,-0.0017604777340974,0.0115001023464467,0.0144216571578926,-0.0017620291961672
E02,2018-04-06,2018-04-06,m3_p3,-1,2018-04-05,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2662.840087890625,7076.5498046875,,18.940000534057617,0.0068628636575538,0.0048905714444793,,0.0068394214016512,0.0048786514478849,
E02,2018-04-06,2018-04-06,m3_p3,0,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2604.469970703125,6915.10986328125,,21.489999771118164,-0.0219202487798424,-0.0228133689244033,,-0.0221640670570649,-0.0230776205398669,
E02,2018-04-06,2018-04-06,m3_p3,1,2018-04-09,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2613.159912109375,6950.33984375,3138.2939453125,21.770000457763672,0.0033365488963206,0.0050946378532348,0.0022940295426965,0.0033309949675928,0.0050817040957478,0.002291402274179
E02,2018-04-06,2018-04-06,m3_p3,2,2018-04-10,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2656.8701171875,7094.2998046875,3190.322021484375,20.46999931335449,0.0167269537832615,0.0207126506291566,0.0165784585760637,0.016588598996314,0.0205010604223787,0.0164425361308349
E02,2018-04-06,2018-04-06,m3_p3,3,2018-04-11,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2642.18994140625,7069.02978515625,3208.08203125,20.239999771118164,-0.005525364482924,-0.0035620174262375,0.0055668392237602,-0.0055406857724611,-0.0035683765155923,0.0055514016401531
E02,2018-04-06,2018-04-06,m5_p5,-5,2018-03-29,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2640.8701171875,7063.4501953125,3160.531005859375,19.96999931335449,0.0137697186900191,0.0164363843425492,0.0122477304537529,0.0136757774938434,0.0163027690905295,0.0121733338468622
E02,2018-04-06,2018-04-06,m5_p5,-4,2018-04-02,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2581.8798828125,6870.1201171875,3163.178955078125,23.6200008392334,-0.0223374235601651,-0.027370487903107,-0.0018044188963745,-0.0225906823434958,-0.0277520379637659,-0.0018060488211577
E02,2018-04-06,2018-04-06,m5_p5,-3,2018-04-03,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2614.449951171875,6941.27978515625,3136.633056640625,21.100000381469727,0.0126148658487921,0.0103578491722036,-0.0083921582732091,0.012535961315741,0.0103045742126723,-0.0084275706970755
E02,2018-04-06,2018-04-06,m5_p5,-2,2018-04-04,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2644.68994140625,7042.10986328125,3131.111083984375,20.059999465942383,0.0115664827398285,0.0145261509758793,-0.0017604777340974,0.0115001023464467,0.0144216571578926,-0.0017620291961672
E02,2018-04-06,2018-04-06,m5_p5,-1,2018-04-05,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2662.840087890625,7076.5498046875,,18.940000534057617,0.0068628636575538,0.0048905714444793,,0.0068394214016512,0.0048786514478849,
E02,2018-04-06,2018-04-06,m5_p5,0,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2604.469970703125,6915.10986328125,,21.489999771118164,-0.0219202487798424,-0.0228133689244033,,-0.0221640670570649,-0.0230776205398669,
E02,2018-04-06,2018-04-06,m5_p5,1,2018-04-09,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2613.159912109375,6950.33984375,3138.2939453125,21.770000457763672,0.0033365488963206,0.0050946378532348,0.0022940295426965,0.0033309949675928,0.0050817040957478,0.002291402274179
E02,2018-04-06,2018-04-06,m5_p5,2,2018-04-10,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2656.8701171875,7094.2998046875,3190.322021484375,20.46999931335449,0.0167269537832615,0.0207126506291566,0.0165784585760637,0.016588598996314,0.0205010604223787,0.0164425361308349
E02,2018-04-06,2018-04-06,m5_p5,3,2018-04-11,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2642.18994140625,7069.02978515625,3208.08203125,20.239999771118164,-0.005525364482924,-0.0035620174262375,0.0055668392237602,-0.0055406857724611,-0.0035683765155923,0.0055514016401531
E02,2018-04-06,2018-04-06,m5_p5,4,2018-04-12,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2663.989990234375,7140.25,3180.157958984375,18.489999771118164,0.0082507500639876,0.0100749631856553,-0.0087042887287843,0.008216898697657,0.0100245490748241,-0.0087423923208316
E02,2018-04-06,2018-04-06,m5_p5,5,2018-04-13,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2656.300048828125,7106.64990234375,3159.052001953125,17.40999984741211,-0.0028866254882486,-0.0047057312637862,-0.0066367637405,-0.0028907998267066,-0.0047168380746259,-0.0066588849869551
E03,2018-06-15,2018-06-15,m1_p1,-1,2018-06-14,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2782.489990234375,7761.0400390625,3044.159912109375,12.119999885559082,0.0024715497784322,0.0084904351900036,-0.0018483875520344,0.0024685005225036,0.0084545941728097,-0.001850097928256
E03,2018-06-15,2018-06-15,m1_p1,0,2018-06-15,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2779.659912109375,7746.3798828125,3021.90087890625,11.979999542236328,-0.0010171027155291,-0.001888942226327,-0.0073120446513275,-0.001017620315494,-0.0018907285275285,-0.0073389086839307
E03,2018-06-15,2018-06-15,m1_p1,1,2018-06-18,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2773.75,7747.02978515625,,12.3100004196167,-0.0021261277624751,8.389755648208208e-05,,-0.0021283911808865,8.38940372789239e-05,
E03,2018-06-15,2018-06-15,m3_p3,-3,2018-06-12,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2786.85009765625,7703.7900390625,3079.802001953125,12.34000015258789,0.0017433852107295,0.0057258829094712,0.0088506268974126,0.0017418672787038,0.0057095523501838,0.0088116896763968
