window_label,excluded_event_id,n_remaining,full_mean_car,loo_mean_car,delta_mean_car,full_median_car,loo_median_car,delta_median_car
m1_p1,E01,23,-0.0023430040812778123,-0.00024530317303883906,0.0020977009082389733,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E02,23,-0.0023430040812778123,-0.002114959399045043,0.00022804468223276914,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E03,23,-0.0023430040812778123,-0.0021528194507359688,0.0001901846305418435,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E04,23,-0.0023430040812778123,-0.003617308761808201,-0.0012743046805303885,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E05,23,-0.0023430040812778123,-0.0026549864516054395,-0.0003119823703276272,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E06,23,-0.0023430040812778123,-0.0025393077681812393,-0.00019630368690342704,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E07,23,-0.0023430040812778123,-0.0021248689397164776,0.00021813514156133465,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E08,23,-0.0023430040812778123,-0.0012499431661224692,0.001093060915155343,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E09,23,-0.0023430040812778123,-0.0016320445143152382,0.000710959566962574,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E10,23,-0.0023430040812778123,-0.0012203081254090298,0.0011226959558687825,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E11,23,-0.0023430040812778123,-0.0031460311020146438,-0.0008030270207368315,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E12,23,-0.0023430040812778123,-0.0028421510332823875,-0.0004991469520045752,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E13,23,-0.0023430040812778123,-0.002865070150114622,-0.0005220660688368098,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E14,23,-0.0023430040812778123,-0.003010779524897522,-0.0006677754436197098,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E15,23,-0.0023430040812778123,-0.0025422056048188314,-0.0001992015235410191,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E16,23,-0.0023430040812778123,-0.002665029699333344,-0.00032202561805553176,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E17,23,-0.0023430040812778123,-0.0021406943294576776,0.0002023097518201347,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E18,23,-0.0023430040812778123,-0.002488076519891396,-0.00014507243861358382,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E19,23,-0.0023430040812778123,-0.0027685744670476915,-0.00042557038576987926,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m1_p1,E20,23,-0.0023430040812778123,-0.0022700877540148606,7.291632726295167e-05,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E21,23,-0.0023430040812778123,-0.002347650417605113,-4.646336327300722e-06,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E22,23,-0.0023430040812778123,-0.002294541640484265,4.846244079354748e-05,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E23,23,-0.0023430040812778123,-0.002183719483236265,0.00015928459804154726,-0.00062123816945765,0.0009936620068346,0.00161490017629225
m1_p1,E24,23,-0.0023430040812778123,-0.0031156364744909346,-0.0007726323932131223,-0.00062123816945765,-0.0022361383457499,-0.00161490017629225
m3_p3,E01,23,-0.001643600192147921,0.0007597239699082125,0.0024033241620561334,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E02,23,-0.001643600192147921,-0.0031631181158982007,-0.0015195179237502796,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E03,23,-0.001643600192147921,-0.0008728001530897312,0.0007708000390581899,0.0048262485038498,0.0055166302924706,0.0006903817886207992
