event_group,window_label,car_simple_sp500_mean,car_simple_sp500_median,car_simple_sp500_std,n_events,n_obs_sp500_return_total
escalation,m1_p1,-0.002731722158692975,0.004097151419787615,0.019547434416395303,11,33
escalation,m3_p3,0.00700458622529783,0.01662736038962076,0.026836837811473734,11,77
escalation,m5_p5,0.011077682347386132,0.018980817802408012,0.026372956582455618,11,121
relief,m1_p1,-0.002684799499520496,0.0008256158091096699,0.016697858862126734,6,18
relief,m3_p3,-0.012526351400514965,0.010190539901998696,0.05096456120501743,6,42
relief,m5_p5,0.0002143676205809871,0.012826899041880613,0.038635602897066045,6,66
